Horodateur,Do you want to continue with the survey?,How many people live in your household (including yourself)?,What type of dwelling do you live in?,Does your home have central heating?,"Does your home have any weather-sensitive features, such as smart thermostats or solar panels?",How satisfied are you with your current level of energy efficiency at home?,"How much do you agree with the following statement: ""Weather significantly impacts my household's electricity consumption""? [Please select]","In your opinion, which weather conditions most affect your home's energy use? (Select all that apply)","How informed do you feel about weather-based energy management strategies (e.g., adjusting thermostat settings based on weather)?",How likely would you be to adopt the following weather-based energy management strategies in your home? [Select all that apply],What are the main challenges you face in implementing energy-saving practices in your home? ,Do you monitor your household's electricity consumption regularly?,How often do you check your electricity consumption? [Please select],"In your opinion, which appliances in your home use the most electricity? (Select up to 3)",Do you have any specific days or times during the week when your household's electricity consumption is significantly higher?,"In your opinion, how well does your current energy provider inform you about your electricity consumption and ways to save energy?",What is your age range?,What is your highest level of education?,What is your occupation (optional)? ,What is your annual household income (optional)?,Do you have any additional comments or suggestions regarding weather-based energy management in Galway?,Have you completed all the questions and ready to submit the form?
3/3/2024 20:06,Yes,5-Apr,Semi-detached house,No,No,Somewhat satisfied,Strongly agree,Precipitation,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",,Yes,Monthly,"Refrigerator, Washing machine, Dishwasher, Television",,Neutral,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 20:54,Yes,5-Apr,Apartment,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Neutral,Unplugging unused electronics.,,Yes,Yearly,Television,,Somewhat well,35-44 years old,Master's degree or higher,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 21:06,Yes,3-Feb,Apartment,Yes,Yes,Very satisfied,Neutral,"Precipitation, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Daily,"Dishwasher, Television",,Somewhat well,18-24 years old,Less than high school,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 21:07,Yes,5-Apr,Semi-detached house,Yes,Yes,Very satisfied,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Yes,Weekly,"Refrigerator, Dryer, Television",,Somewhat well,18-24 years old,Less than high school,,"€40,000 - €60,000",,"Yes, I am ready to submit"
3/3/2024 21:08,Yes,More than 5,Detached house,Yes,Yes,Very satisfied,Somewhat agree,"Temperature, Wind",Very informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Daily,"Refrigerator, Washing machine, Dryer, Dishwasher",,Somewhat poorly,18-24 years old,Less than high school,,"Less than €20,000",,"Yes, I am ready to submit"
3/3/2024 21:10,Yes,5-Apr,Apartment,No,No,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible.,I'm on rent,Yes,Monthly,Dishwasher,No,Somewhat poorly,35-44 years old,High school diploma or equivalent,,"Less than €20,000",No,"Yes, I am ready to submit"
3/3/2024 21:12,Yes,5-Apr,Apartment,No,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation, Wind, Humidity",Neutral,Unplugging unused electronics.,,No,Yearly,"Refrigerator, Washing machine, Dryer, Lighting",,Very poorly,18-24 years old,Less than high school,,"€60,000 - €80,000",,"Yes, I am ready to submit"
3/3/2024 21:22,Yes,3-Feb,Apartment,Yes,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Monthly,"Washing machine, Dryer, Dishwasher",,Somewhat well,45-54 years old,Less than high school,,"More than €80,000",,"Yes, I am ready to submit"
3/3/2024 21:27,Yes,More than 5,Semi-detached house,Yes,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Precipitation",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",,No,Monthly,Washing machine,No ,Neutral,45-54 years old,Some college,,,,"Yes, I am ready to submit"
3/3/2024 21:31,Yes,5-Apr,Semi-detached house,Yes,No,Very satisfied,Somewhat disagree,Doesn't impact ,Very informed,Washing clothes in cold water during hot weather.,"Very energy sufficient already,  do nothing to face",No,Monthly,"Washing machine, Dryer",Sunday,Very well,25-34 years old,Master's degree or higher,Business analyst ,"More than €80,000",N/A,"Yes, I am ready to submit"
3/3/2024 21:47,Yes,5-Apr,Apartment,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Yes,Monthly,"Refrigerator, Television, Lighting",,Neutral,18-24 years old,Less than high school,,"Less than €20,000",,"Yes, I am ready to submit"
3/3/2024 21:47,Yes,5-Apr,Apartment,Yes,No,Somewhat satisfied,Somewhat agree,Temperature,Neutral,Washing clothes in cold water during hot weather.,,Yes,Monthly,Refrigerator,,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 22:02,Yes,More than 5,Detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat disagree,"Temperature, Wind, Humidity",Very uninformed,Adjusting your thermostat settings based on the weather forecast.,The cost,Yes,Weekly,"Refrigerator, Dishwasher, Lighting",Yes on weekends because everyone is at home,Very poorly,45-54 years old,Master's degree or higher,Unemployed,"€20,000 - €40,000",No,"Yes, I am ready to submit"
3/3/2024 22:05,Yes,More than 5,Apartment,No,No,Very dissatisfied,Strongly agree,"Temperature, Wind",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Too expensive ,Yes,Weekly,"Refrigerator, Television, Lighting",Weekends,Somewhat poorly,55-64 years old,Some college,,Prefer not to answer,No,"Yes, I am ready to submit"
3/3/2024 22:31,Yes,3-Feb,Detached house,Yes,Yes,Somewhat satisfied,Strongly agree,"Temperature, Humidity",Very informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Not many challenges - mainly internet cut off to control heating system ,Yes,Weekly,"Dryer, Dishwasher, Television",Weekend ,Very well,45-54 years old,Master's degree or higher,Prefer not to say ,Prefer not to answer,More grants for households to upgrade to energy efficiënts equipments ,"Yes, I am ready to submit"
3/3/2024 22:46,Yes,3-Feb,Detached house,No,No,Somewhat dissatisfied,Strongly agree,"Temperature, Wind",Very uninformed,"Using energy-efficient appliances whenever possible., Taking shorter showers in hot weather.",Too expensive ,Yes,Weekly,"Refrigerator, Washing machine, Lighting",Weekends ,Neutral,18-24 years old,Less than high school,,"€40,000 - €60,000",,"Yes, I am ready to submit"
3/3/2024 23:01,Yes,3-Feb,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity, Cloudy ",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",,No,Monthly,"Washing machine, Computer, Lighting",Weekends ,Very poorly,45-54 years old,Bachelor's degree,Technician,"€20,000 - €40,000","The information to be made public, the government to organise conferences to inform the population ","Yes, I am ready to submit"
3/3/2024 23:04,Yes,3-Feb,Apartment,No,No,Somewhat dissatisfied,Strongly agree,Temperature,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics.",Convenience,No,Monthly,Refrigerator,Between 5 and 7 when home from work. ,Somewhat poorly,25-34 years old,Master's degree or higher,,"€40,000 - €60,000",No,"Yes, I am ready to submit"
3/3/2024 23:08,Yes,1,Semi-detached house,No,No,Very dissatisfied,Neutral,"Precipitation, Humidity",Neutral,"Unplugging unused electronics., Washing clothes in cold water during hot weather.",My apartment is poorly isolated. It’s very cold throughout the year,No,Never,"Washing machine, Dryer, Dishwasher",Bank holidays and weekend ,Very poorly,45-54 years old,Bachelor's degree,I’m taxi driver ,"€20,000 - €40,000",Building should be isolated to reduce the heating ,"Yes, I am ready to submit"
3/3/2024 23:12,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",Coldest weather ,Yes,Weekly,"Refrigerator, Washing machine, Dryer",Weekends ,Somewhat poorly,55-64 years old,Bachelor's degree,Care giver,"€40,000 - €60,000",organising information sessions ,"Yes, I am ready to submit"
3/3/2024 23:33,Yes,3-Feb,Apartment,Yes,No,Somewhat satisfied,Neutral,Humidity,Somewhat informed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Humidity ,No,Monthly,"Washing machine, Dryer",Weekend ,Somewhat poorly,25-34 years old,Some college,Bus driver,"€20,000 - €40,000",Reducing the cost of energy ,"Yes, I am ready to submit"
4/3/2024 6:20,Yes,5-Apr,Terrace ,No,No,Somewhat satisfied,Strongly agree,Temperature,Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Dealing with younger ones ,No,Weekly,"Washing machine, Dryer",No,Somewhat well,45-54 years old,Master's degree or higher,,"€40,000 - €60,000",,"Yes, I am ready to submit"
4/3/2024 7:22,Yes,5-Apr,Apartment,No,No,Very dissatisfied,Somewhat agree,"Temperature, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Weekly,Refrigerator,,Very poorly,18-24 years old,Master's degree or higher,,"Less than €20,000",,"Yes, I am ready to submit"
4/3/2024 7:56,No,,,,,,,,,,,,,,,,,,,,,
4/3/2024 9:40,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat dissatisfied,Strongly agree,Temperature,Somewhat informed,"Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather.",Financial opportunities,No,Yearly,"Washing machine, Dryer, Dishwasher",Morning ,Somewhat well,25-34 years old,Bachelor's degree,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 10:06,Yes,More than 5,Detached house,No,No,Very dissatisfied,Somewhat disagree,Wind,Somewhat uninformed,Washing clothes in cold water during hot weather.,,No,Weekly,"Dishwasher, Television, Computer",,Neutral,45-54 years old,Bachelor's degree,,"€20,000 - €40,000",No,"Yes, I am ready to submit"
4/3/2024 10:09,Yes,1,Apartment,No,Yes,Somewhat satisfied,Somewhat agree,Temperature,Neutral,Unplugging unused electronics.,inappropriate housing conditions,Yes,Yearly,"Refrigerator, Washing machine, Dryer, Dishwasher",No,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 10:14,Yes,5-Apr,Semi-detached house,Yes,No,Somewhat dissatisfied,Strongly agree,Temperature,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.,Cost,No,Never,"Refrigerator, Washing machine, Dishwasher",Weekends,Neutral,45-54 years old,Master's degree or higher,Civil servant,"More than €80,000",,"Yes, I am ready to submit"
4/3/2024 10:17,Yes,5-Apr,Detached house,No,Yes,Very satisfied,Strongly agree,"Temperature, Precipitation",Very informed,"Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",that all members do it ,Yes,Weekly,"Dryer, Dishwasher, Television, kettle",weekend,Somewhat well,45-54 years old,Master's degree or higher,,"€60,000 - €80,000",no,"Yes, I am ready to submit"
4/3/2024 10:21,Yes,5-Apr,Detached house,Yes,Yes,Somewhat satisfied,Somewhat agree,Temperature,Somewhat informed,"Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",It’s always cold in this country,No,Yearly,"Washing machine, Dryer, Dishwasher",We try to use all heavy appliances after midnight for night rate (ie dishwasher washing machine),Somewhat well,25-34 years old,Master's degree or higher,,"More than €80,000",,"Yes, I am ready to submit"
4/3/2024 11:43,Yes,3-Feb,Semi-detached house,Yes,Yes,Very satisfied,Somewhat agree,Precipitation,Very informed,Unplugging unused electronics.,,Yes,Monthly,"Refrigerator, Washing machine, Dryer, Dishwasher, Lighting",,Somewhat well,18-24 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 11:45,Yes,1,Detached house,No,No,Somewhat dissatisfied,Neutral,Wind,Neutral,Unplugging unused electronics.,I don't know how,Yes,Monthly,"Dryer, Computer",No,Neutral,18-24 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
4/3/2024 11:47,Yes,3-Feb,Detached house,Yes,Yes,Very satisfied,Strongly agree,Temperature,Very informed,Adjusting your thermostat settings based on the weather forecast.,No,Yes,Weekly,"Refrigerator, Washing machine, Dryer, Dishwasher",Everyday evening ,Somewhat well,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
4/3/2024 11:48,Yes,3-Feb,Semi-detached house,Yes,No,Very dissatisfied,Somewhat agree,Wind,Neutral,Using energy-efficient appliances whenever possible.,,Yes,Weekly,Dryer,,Somewhat poorly,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 12:01,No,,,,,,,,,,,,,,,,,,,,,
4/3/2024 12:04,Yes,3-Feb,Apartment,Yes,No,Neither satisfied nor dissatisfied,Neutral,"Temperature, Precipitation, Wind, Humidity",Somewhat uninformed,Using energy-efficient appliances whenever possible.,,Yes,Monthly,"Refrigerator, Washing machine, Dryer, Lighting",Never checked ,Neutral,35-44 years old,Some college,Healthcare Assistant ,"Less than €20,000",What are the best ways to save electricity ,"Yes, I am ready to submit"
4/3/2024 12:05,Yes,3-Feb,Apartment,Yes,Yes,Neither satisfied nor dissatisfied,Somewhat agree,"Wind, Humidity",Somewhat informed,"Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather.",coldest days,No,Never,"Washing machine, Dryer, Dishwasher",,Somewhat poorly,35-44 years old,Bachelor's degree,,"€20,000 - €40,000",Building homes more energy efficient and sustainable,"Yes, I am ready to submit"
4/3/2024 12:10,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat satisfied,Strongly agree,Temperature,Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Lack of knowledge and on the appliances,Yes,Monthly,"Washing machine, Dryer, Computer",Weekends,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",,"Yes, I am ready to submit"
4/3/2024 13:01,Yes,3-Feb,Detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible.,,Yes,Monthly,Dishwasher,,Neutral,25-34 years old,Some college,,"Less than €20,000",,"Yes, I am ready to submit"
4/3/2024 13:01,Yes,3-Feb,Apartment,Yes,No,Very dissatisfied,Neutral,Wind,Very informed,Adjusting your thermostat settings based on the weather forecast.,,No,Monthly,"Refrigerator, Washing machine, Computer",No,Neutral,25-34 years old,Bachelor's degree,Baker ,"€40,000 - €60,000",No,"Yes, I am ready to submit"
4/3/2024 13:04,Yes,5-Apr,Semi-detached house,No,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation, Wind",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Monthly,"Washing machine, Dishwasher, Television, Computer","Yes, evening ",Somewhat well,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 13:31,Yes,More than 5,Semi-detached house,Yes,No,Somewhat dissatisfied,Strongly agree,Temperature,Very uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Without information how can we even how how to,No,Monthly,"Refrigerator, Television, Computer, Lighting",No,Neutral,35-44 years old,High school diploma or equivalent,Entrepreneur ,"Less than €20,000",,"Yes, I am ready to submit"
4/3/2024 13:56,Yes,1,Apartment,No,No,Neither satisfied nor dissatisfied,Neutral,"Temperature, Precipitation, Wind, Humidity, ",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",,No,Yearly,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting, ",,Neutral,18-24 years old,Master's degree or higher,,"More than €80,000",,"Yes, I am ready to submit"
4/3/2024 14:04,Yes,1,Apartment,Yes,No,Somewhat satisfied,Strongly agree,"Temperature, Precipitation, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather.",lack of knowledge,Yes,Weekly,"Refrigerator, Washing machine, heating",Weekends,Neutral,25-34 years old,Master's degree or higher,IT,"€40,000 - €60,000",,"Yes, I am ready to submit"
4/3/2024 14:05,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat dissatisfied,Strongly agree,"Precipitation, Humidity",Somewhat informed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",,Yes,Weekly,"Washing machine, Dryer",,Somewhat well,45-54 years old,Bachelor's degree,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 14:10,Yes,More than 5,Semi-detached house,Yes,Yes,Very satisfied,Strongly agree,Temperature,Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics.",Making sure appliances that are not needed or being used are plugged out and switched off,No,Monthly,"Refrigerator, Television, Lighting",Winter time in the evenings,Somewhat well,35-44 years old,Master's degree or higher,Support Engineer,Prefer not to answer,,"Yes, I am ready to submit"
4/3/2024 15:39,Yes,1,Detached house,Yes,Yes,Somewhat dissatisfied,Somewhat agree,Temperature,Very informed,Adjusting your thermostat settings based on the weather forecast.,,No,Weekly,Dryer,,Somewhat well,18-24 years old,High school diploma or equivalent,,"Less than €20,000",,"Yes, I am ready to submit"
4/3/2024 15:40,Yes,5-Apr,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat disagree,"Temperature, Precipitation",Somewhat informed,Using energy-efficient appliances whenever possible.,,Yes,Weekly,"Washing machine, Dishwasher, Television, Computer",,Somewhat well,25-34 years old,Bachelor's degree,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 15:51,Yes,5-Apr,Semi-detached house,No,No,Somewhat satisfied,Somewhat disagree,"Temperature, Precipitation, Wind",Somewhat informed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",,No,Monthly,"Refrigerator, Dryer, Dishwasher, Television",17 am,Somewhat well,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
4/3/2024 19:11,Yes,5-Apr,Apartment,Yes,No,Somewhat satisfied,Neutral,"Temperature, Wind",Neutral,"Using energy-efficient appliances whenever possible., Unplugging unused electronics., Taking shorter showers in hot weather.",,No,Monthly,"Washing machine, Dryer, Dishwasher",no,Neutral,18-24 years old,Less than high school,,,,"Yes, I am ready to submit"
5/3/2024 23:04,Yes,5-Apr,Detached house,No,No,Neither satisfied nor dissatisfied,Strongly disagree,Humidity,Somewhat uninformed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",,No,Weekly,"Washing machine, Dryer, Dishwasher",,Somewhat poorly,45-54 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
5/3/2024 23:23,Yes,3-Feb,Semi-detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Neutral,Using energy-efficient appliances whenever possible.,,Yes,Yearly,"Refrigerator, Dryer, Dishwasher",,Somewhat poorly,35-44 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
5/3/2024 23:24,Yes,5-Apr,Detached house,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity",Somewhat informed,Taking shorter showers in hot weather.,,No,Monthly,"Dryer, Dishwasher, Lighting",Friday ,Somewhat poorly,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
5/3/2024 23:25,Yes,More than 5,Detached house,Yes,Yes,Very satisfied,Strongly agree,"Temperature, Precipitation, Wind",Somewhat informed,Washing clothes in cold water during hot weather.,,Yes,Weekly,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Lighting",Not ,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",,"Yes, I am ready to submit"
6/3/2024 11:51,Yes,3-Feb,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Wind, Humidity",Somewhat informed,Unplugging unused electronics.,,No,Never,"Refrigerator, Washing machine, Dishwasher, Television",,Somewhat well,35-44 years old,Master's degree or higher,,"€40,000 - €60,000",,"Yes, I am ready to submit"
6/3/2024 11:53,Yes,More than 5,Apartment,No,Yes,Somewhat satisfied,Strongly disagree,Temperature,Somewhat informed,Taking shorter showers in hot weather.,,No,Weekly,"Washing machine, Dryer, Dishwasher",,Somewhat well,35-44 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
6/3/2024 11:55,Yes,3-Feb,Semi-detached house,No,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Precipitation",Somewhat uninformed,Using energy-efficient appliances whenever possible.,,No,Monthly,"Dishwasher, Computer, Lighting",Negative ,Somewhat well,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
6/3/2024 12:19,Yes,1,Apartment,No,No,Very dissatisfied,Strongly agree,Temperature,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,Negative ,No,Weekly,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting",Between 18am and 21am,Very poorly,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
6/3/2024 12:21,Yes,3-Feb,Apartment,Yes,Yes,Very satisfied,Somewhat agree,Wind,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Monthly,Dryer,in the evening when we are at home,Somewhat poorly,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
6/3/2024 12:25,Yes,More than 5,Detached house,No,No,Somewhat satisfied,Strongly agree,Precipitation,Somewhat informed,Unplugging unused electronics.,,No,Yearly,"Refrigerator, Washing machine, Dryer",Yes,Neutral,35-44 years old,Some college,,"€40,000 - €60,000",,"Yes, I am ready to submit"
6/3/2024 12:27,Yes,5-Apr,Semi-detached house,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Humidity",Somewhat informed,Washing clothes in cold water during hot weather.,,No,Monthly,"Refrigerator, Washing machine, Dryer",No,Somewhat well,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
6/3/2024 12:28,Yes,5-Apr,Semi-detached house,Yes,Yes,Very satisfied,Somewhat agree,Precipitation,Very informed,Adjusting your thermostat settings based on the weather forecast.,,No,Daily,"Washing machine, Dryer, Dishwasher",,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",,"Yes, I am ready to submit"
6/3/2024 20:05,Yes,5-Apr,Detached house,No,Yes,Very satisfied,Strongly agree,"Temperature, Wind",Very informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Yearly,"Refrigerator, Washing machine, Dryer",Saturday and sundays,Somewhat well,18-24 years old,Less than high school,,"Less than €20,000",,"Yes, I am ready to submit"
6/3/2024 20:07,Yes,3-Feb,Apartment,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Precipitation",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Switching off lights ;washing less clothes,Yes,Monthly,"Washing machine, Dryer, Lighting",Weekends,Somewhat poorly,18-24 years old,Some college,,"Less than €20,000",Use the wind more efficiently since there’s a lot especially in storms ,"Yes, I am ready to submit"
6/3/2024 20:10,Yes,1,Detached house,No,Yes,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation, Wind, Humidity",Very uninformed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Using the heater less,No,Never,"Refrigerator, Washing machine, Dryer",Days of off work and weekedns,Neutral,18-24 years old,Some college,McDonald’s ,"Less than €20,000",No,"Yes, I am ready to submit"
6/3/2024 20:13,Yes,More than 5,Semi-detached house,Yes,Yes,Somewhat satisfied,Strongly agree,"Temperature, Wind, Humidity, Storms ",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics., Washing clothes in cold water during hot weather.",Having all the kids listen when I tell them to take shorter showers and switch off lights,Yes,Monthly,"Washing machine, Lighting, Shower",Weekends and after school when everyone is home,Somewhat poorly,35-44 years old,Master's degree or higher,,"€40,000 - €60,000",,"Yes, I am ready to submit"
6/3/2024 20:14,No,,,,,,,,,,,,,,,,,,,,,
6/3/2024 20:16,Yes,5-Apr,Apartment,Yes,No,Somewhat dissatisfied,Strongly agree,"Temperature, Precipitation, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Not everyone following the same rules ,Yes,Monthly,"Washing machine, Lighting, Shower ","Weekends, after school and work",Very poorly,25-34 years old,Bachelor's degree,,"€60,000 - €80,000",It should use the weather conditions mor efficiently for example the sting wind ,"Yes, I am ready to submit"
