Horodateur,Do you want to continue with the survey?,How many people live in your household (including yourself)?,What type of dwelling do you live in?,Does your home have central heating?,"Does your home have any weather-sensitive features, such as smart thermostats or solar panels?",How satisfied are you with your current level of energy efficiency at home?,"How much do you agree with the following statement: ""Weather significantly impacts my household's electricity consumption""? [Please select]","In your opinion, which weather conditions most affect your home's energy use? (Select all that apply)","How informed do you feel about weather-based energy management strategies (e.g., adjusting thermostat settings based on weather)?",How likely would you be to adopt the following weather-based energy management strategies in your home? [Select all that apply],What are the main challenges you face in implementing energy-saving practices in your home? ,Do you monitor your household's electricity consumption regularly?,How often do you check your electricity consumption? [Please select],"In your opinion, which appliances in your home use the most electricity? (Select up to 3)",Do you have any specific days or times during the week when your household's electricity consumption is significantly higher?,"In your opinion, how well does your current energy provider inform you about your electricity consumption and ways to save energy?",What is your age range?,What is your highest level of education?,What is your occupation (optional)? ,What is your annual household income (optional)?,Do you have any additional comments or suggestions regarding weather-based energy management in Galway?,Have you completed all the questions and ready to submit the form?
6/3/2024 20:24,Yes,3-Feb,Apartment,Yes,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation, Wind",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics., Taking shorter showers in hot weather.",Remembering to do it,Yes,Monthly,"Washing machine, Dishwasher, Lighting","When at home for longest periods -weekends, at night ",Somewhat poorly,25-34 years old,Bachelor's degree,Undergraduate ,"€20,000 - €40,000",,"Yes, I am ready to submit"
10/3/2024 21:43,Yes,3-Feb,Semi-detached house,Yes,No,Somewhat satisfied,Strongly agree,Temperature,Very uninformed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics., Washing clothes in cold water during hot weather.",Not taking it seriously enough and making an effort ,No,Monthly,"Washing machine, Dryer, Kettle ",Evening ,Somewhat well,55-64 years old,Some college,School Secretary ,"€40,000 - €60,000",,"Yes, I am ready to submit"
11/3/2024 8:43,Yes,3-Feb,Detached house,Yes,Yes,Very satisfied,Strongly disagree,Humidity,Neutral,"Unplugging unused electronics., Washing clothes in cold water during hot weather.",Humidity ,Yes,Yearly,"Washing machine, Dryer, Dishwasher",No at all,Neutral,35-44 years old,Some college,,"€20,000 - €40,000",Build sustainable houses,"Yes, I am ready to submit"
11/3/2024 8:49,Yes,5-Apr,Semi-detached house,Yes,Yes,Somewhat satisfied,Strongly agree,Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,Weather,Yes,Daily,"Dryer, Dishwasher",Weekend,Somewhat well,45-54 years old,Master's degree or higher,Nurse,"More than €80,000",Government policies ,"Yes, I am ready to submit"
11/3/2024 10:45,Yes,5-Apr,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Neutral,"Precipitation, Humidity",Neutral,Unplugging unused electronics.,Politics,No,Never,"Dryer, Dishwasher",Never,Very poorly,55-64 years old,Master's degree or higher,Engineer ,"More than €80,000",Politics ,"Yes, I am ready to submit"
12/3/2024 16:57,Yes,3-Feb,Detached house,Yes,Yes,Very satisfied,Strongly agree,"Temperature, Humidity",Very informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",None at all,Yes,Monthly,"Washing machine, Dryer",Sundays ,Very well,35-44 years old,Bachelor's degree,Director Human Resources ,"More than €80,000",More energy efficient to be proposed by the government ,"Yes, I am ready to submit"
12/3/2024 17:01,Yes,3-Feb,Apartment,Yes,Yes,Very satisfied,Strongly agree,"Temperature, Precipitation, Wind, Humidity",Very informed,"Using energy-efficient appliances whenever possible., Unplugging unused electronics.",I leave in an old building ,No,Never,"Refrigerator, Dryer",Weekend ,Very well,55-64 years old,Some college,,"€60,000 - €80,000",Government to provide refurbishment grant to all and not only vacant properties ,"Yes, I am ready to submit"
12/3/2024 17:06,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat satisfied,Somewhat disagree,"Temperature, Precipitation, Wind, Humidity",Somewhat informed,"Unplugging unused electronics., Taking shorter showers in hot weather.",Financial barriers ,No,Never,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting",Weekend and holidays ,Somewhat well,45-54 years old,Master's degree or higher,Entrepreneur ,"More than €80,000",Use the data gathered to develop a strategy for managing cost and energy consumption regularly.,"Yes, I am ready to submit"
12/3/2024 17:11,Yes,1,Detached house,No,No,Very satisfied,Strongly agree,"Precipitation, Wind, Humidity",Very informed,Adjusting your thermostat settings based on the weather forecast.,I leave in a house that was built by my parents and need to be renovated to the highest standards to reduce the cost of my energy used ,No,Never,"Washing machine, Dryer",No,Very poorly,18-24 years old,Bachelor's degree,Student ,"€20,000 - €40,000",I need to be informed on what’s going on regularly and why the energy prices are going upwards ,"Yes, I am ready to submit"
12/3/2024 19:56,Yes,4,Apartment,No,No,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat uninformed,Taking shorter showers in hot weather.,,No,Never,Dryer,,Very poorly,25-34 years old,Some college,,"Less than €20,000",,"Yes, I am ready to submit"
13/03/2024 10:43:02,Yes,3,Apartment,Yes,Yes,Somewhat dissatisfied,Somewhat agree,Wind,Neutral,Unplugging unused electronics.,,Yes,Yearly,Dryer,,Neutral,35-44 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
13/03/2024 12:35:32,Yes,4,Detached house,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Very informed,Adjusting your thermostat settings based on the weather forecast.,,No,Weekly,"Refrigerator, Washing machine, Dishwasher",,Somewhat well,35-44 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
13/03/2024 12:36:28,Yes,2,Apartment,No,No,Very dissatisfied,Strongly disagree,Humidity,Very uninformed,Taking shorter showers in hot weather.,,No,Never,"Dryer, Dishwasher, Television",,Very poorly,55-64 years old,Bachelor's degree,,"Less than €20,000",,"Yes, I am ready to submit"
13/03/2024 12:37:18,Yes,1,Detached house,No,Yes,Very satisfied,Strongly agree,"Precipitation, Wind",Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Monthly,"Refrigerator, Washing machine, Dishwasher, Television",,Somewhat well,18-24 years old,Bachelor's degree,,"€60,000 - €80,000",,"Yes, I am ready to submit"
13/03/2024 12:38:08,Yes,3,Apartment,No,No,Somewhat dissatisfied,Somewhat agree,Precipitation,Somewhat uninformed,Using energy-efficient appliances whenever possible.,,No,,"Washing machine, Dryer, Dishwasher, Television",,Neutral,25-34 years old,High school diploma or equivalent,,,,"Yes, I am ready to submit"
13/03/2024 12:39:05,Yes,4,Apartment,No,No,Somewhat dissatisfied,Somewhat disagree,"Temperature, Precipitation, Wind",Somewhat uninformed,Washing clothes in cold water during hot weather.,,Yes,,"Refrigerator, Washing machine, Television, Computer",,Neutral,25-34 years old,High school diploma or equivalent,,,,"Yes, I am ready to submit"
13/03/2024 12:39:59,Yes,3,Semi-detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Wind",Somewhat informed,Using energy-efficient appliances whenever possible.,,Yes,,"Refrigerator, Television, Computer, Lighting",,Somewhat well,45-54 years old,Some college,,"Less than €20,000",,"Yes, I am ready to submit"
13/03/2024 12:40:51,Yes,3,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Wind",Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,No,,"Dryer, Dishwasher, Television",,Very well,25-34 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
13/03/2024 12:41:41,Yes,1,Detached house,No,No,Very dissatisfied,Somewhat agree,Precipitation,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Daily,Refrigerator,,Very well,18-24 years old,Master's degree or higher,,"More than €80,000",,"Yes, I am ready to submit"
13/03/2024 12:42:40,Yes,Other,Semi-detached house,Yes,Yes,Somewhat dissatisfied,Neutral,Wind,Neutral,Unplugging unused electronics.,,Yes,,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting",,Neutral,45-54 years old,Master's degree or higher,,,,"Yes, I am ready to submit"
13/03/2024 14:31:54,Yes,4,Apartment,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Neutral,Unplugging unused electronics.,,No,Weekly,"Washing machine, Dryer",,Neutral,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
13/03/2024 14:32:56,Yes,Other,Detached house,No,No,Very satisfied,Somewhat agree,Humidity,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Monthly,"Refrigerator, Washing machine",,Very well,45-54 years old,Master's degree or higher,,"Less than €20,000",,"Yes, I am ready to submit"
13/03/2024 14:33:44,Yes,Other,Apartment,No,No,Very satisfied,Strongly agree,Wind,Neutral,Adjusting your thermostat settings based on the weather forecast.,,No,Never,Refrigerator,,Very well,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
13/03/2024 14:34:35,Yes,2,Semi-detached house,No,No,Very dissatisfied,Somewhat agree,Humidity,Somewhat uninformed,Unplugging unused electronics.,,No,Monthly,"Refrigerator, Washing machine",,Somewhat poorly,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
13/03/2024 16:34:58,Yes,1,Semi-detached house,No,No,Somewhat dissatisfied,Somewhat agree,Precipitation,Very informed,Using energy-efficient appliances whenever possible.,,No,Monthly,Refrigerator,,Somewhat well,25-34 years old,Some college,,"Less than €20,000",,"Yes, I am ready to submit"
13/03/2024 16:36:14,Yes,Other,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat disagree,Temperature,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,,No,Yearly,"Refrigerator, Washing machine, Dishwasher",,Somewhat well,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
15/03/2024 14:25:57,Yes,2,Detached house,Yes,Yes,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Monthly,"Refrigerator, Dryer",,Somewhat well,25-34 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
15/03/2024 14:26:51,Yes,4,Apartment,Yes,No,Neither satisfied nor dissatisfied,Somewhat disagree,Humidity,Very informed,Using energy-efficient appliances whenever possible.,,Yes,Daily,"Refrigerator, Washing machine, Dishwasher",,Very well,55-64 years old,Master's degree or higher,,,,"Yes, I am ready to submit"
15/03/2024 14:27:45,Yes,Other,Semi-detached house,No,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation",Neutral,Taking shorter showers in hot weather.,,No,Never,Refrigerator,,Somewhat poorly,25-34 years old,High school diploma or equivalent,,,,"Yes, I am ready to submit"
15/03/2024 14:28:42,Yes,1,Apartment,Yes,No,Somewhat dissatisfied,Somewhat agree,Temperature,Neutral,Using energy-efficient appliances whenever possible.,,No,Weekly,Dryer,,Neutral,25-34 years old,Some college,,,,"Yes, I am ready to submit"
15/03/2024 14:31:27,Yes,1,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Precipitation",Neutral,Washing clothes in cold water during hot weather.,,No,Monthly,Dryer,,Somewhat well,18-24 years old,High school diploma or equivalent,,,,"Yes, I am ready to submit"
15/03/2024 17:24:14,Yes,3,Detached house,No,No,Very dissatisfied,Neutral,"Temperature, Precipitation, Wind, Humidity",Very uninformed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Finances ,No,Never,"Washing machine, Dryer",None,Somewhat poorly,55-64 years old,Some college,Carer assistant ,"€40,000 - €60,000",Build sustainable houses,"Yes, I am ready to submit"
15/03/2024 17:27:13,Yes,2,Semi-detached house,Yes,Yes,Neither satisfied nor dissatisfied,Strongly disagree,"Precipitation, Humidity",Somewhat uninformed,Taking shorter showers in hot weather.,Lack of information ,No,Never,"Washing machine, Dryer",Sunday ,Somewhat poorly,35-44 years old,Bachelor's degree,Truck driver ,"€40,000 - €60,000",The government to vote for a higher budget to implement existing strategies ,"Yes, I am ready to submit"
16/03/2024 08:44:39,Yes,3,Apartment,Yes,Yes,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Monthly,"Washing machine, Dryer, Dishwasher",Weekends,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 08:46:39,Yes,Other,Detached house,Yes,Yes,Somewhat satisfied,Strongly agree,"Temperature, Precipitation, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Taking shorter showers in hot weather.",Too much people in the house some don’t listen and follow orders ,Yes,Monthly,"Refrigerator, Washing machine, Lighting",Weekends and after work ,Somewhat poorly,35-44 years old,Bachelor's degree,,"€60,000 - €80,000",,"Yes, I am ready to submit"
16/03/2024 10:24:02,Yes,4,Detached house,No,No,Somewhat dissatisfied,Somewhat disagree,"Temperature, Wind, Humidity",Somewhat uninformed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Finance ,No,Never,"Washing machine, Dryer, Dishwasher",Weekends ,Somewhat poorly,45-54 years old,Master's degree or higher,HR. Manager,"€60,000 - €80,000",New policy ,"Yes, I am ready to submit"
16/03/2024 10:26:59,Yes,3,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Somewhat agree,Temperature,Neutral,Using energy-efficient appliances whenever possible.,,No,Yearly,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer, Lighting",,Somewhat well,65+ years old,Less than high school,,"More than €80,000",,"Yes, I am ready to submit"
16/03/2024 10:29:08,Yes,3,Apartment,Yes,No,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity",Somewhat uninformed,Using energy-efficient appliances whenever possible.,,No,Yearly,"Refrigerator, Washing machine, Television",Weekends,Somewhat well,18-24 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 10:33:03,Yes,2,Detached house,No,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Precipitation, Wind",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather.",Forgetting to do it,Yes,Monthly,"Refrigerator, Washing machine, Lighting",After work and weekends,Somewhat well,18-24 years old,High school diploma or equivalent,,"€40,000 - €60,000",More renewable resources for energy like using wind and rain as energy resourcse,"Yes, I am ready to submit"
16/03/2024 10:37:04,Yes,Other,Semi-detached house,Yes,Yes,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Precipitation, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Forgetting to do it ,No,Never,"Refrigerator, Washing machine, Lighting",Weekends or off days,Somewhat well,25-34 years old,Some college,,"€40,000 - €60,000",Using the rain and wind more efficiently ,"Yes, I am ready to submit"
16/03/2024 10:38:41,Yes,3,Semi-detached house,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics.",,Yes,Monthly,"Refrigerator, Washing machine, Dryer",Off days weekends ,Neutral,18-24 years old,High school diploma or equivalent,,"€40,000 - €60,000",Using Iran’s and wind more erficntly as they are renewable ,"Yes, I am ready to submit"
16/03/2024 10:41:52,Yes,1,Semi-detached house,Yes,No,Somewhat satisfied,Somewhat agree,Temperature,Neutral,"Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Not always remembering,Yes,Weekly,"Washing machine, Dishwasher, Lighting",Weekends ,Very poorly,18-24 years old,High school diploma or equivalent,Student ,"Less than €20,000",Using more renewable resources in Galway liek the rain and strong winds,"Yes, I am ready to submit"
16/03/2024 10:43:50,Yes,2,Apartment,Yes,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Humidity",Neutral,"Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather.",Not really thinking about it,No,Never,"Refrigerator, Washing machine, Lighting",Weekend ,Very poorly,18-24 years old,Some college,Student,"Less than €20,000",Using the strong wind for providing energy instead of bruinnjng oil and gas,"Yes, I am ready to submit"
16/03/2024 10:49:05,Yes,4,Semi-detached house,Yes,Yes,Neither satisfied nor dissatisfied,Neutral,Temperature,Somewhat uninformed,"Using energy-efficient appliances whenever possible., Taking shorter showers in hot weather.",,Yes,Weekly,"Refrigerator, Washing machine, Lighting",After work ,Somewhat poorly,18-24 years old,Some college,Student ,"€20,000 - €40,000",Using renewable energy instead of gas,"Yes, I am ready to submit"
16/03/2024 10:50:59,Yes,3,Semi-detached house,Yes,No,Somewhat satisfied,Somewhat agree,"Temperature, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Forgetting to ,Yes,Monthly,"Refrigerator, Washing machine, Lighting",Weekends and winter when is cold ,Somewhat poorly,18-24 years old,Bachelor's degree,,"€60,000 - €80,000",Useing more of the rain and wind ,"Yes, I am ready to submit"
16/03/2024 10:53:33,Yes,2,Semi-detached house,No,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,No,Yearly,"Dryer, Computer, Lighting",Winter times,Somewhat poorly,18-24 years old,Some college,Stundent,"Less than €20,000",Using the sun rays and wind more,"Yes, I am ready to submit"
16/03/2024 10:59:39,Yes,2,Apartment,No,Yes,Somewhat dissatisfied,Strongly agree,Precipitation,Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Taking shorter showers in hot weather.",,Yes,Monthly,"Refrigerator, Washing machine, Computer",,Somewhat poorly,18-24 years old,High school diploma or equivalent,,"€60,000 - €80,000",,"Yes, I am ready to submit"
16/03/2024 11:02:45,Yes,2,Apartment,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Precipitation, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Weekly,"Washing machine, Dishwasher, Computer",,Somewhat poorly,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 11:04:54,Yes,3,Apartment,No,Yes,Neither satisfied nor dissatisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather.",,No,Yearly,"Refrigerator, Dishwasher, Lighting",Winter and weekend,Neutral,18-24 years old,Some college,,"€40,000 - €60,000",Use more wind and rain energy ,"Yes, I am ready to submit"
16/03/2024 11:07:55,Yes,2,Semi-detached house,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Precipitation, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,No,Yearly,"Washing machine, Dryer, Computer",Winter,Somewhat poorly,18-24 years old,Some college,,"€40,000 - €60,000",Use rain and sun energy more,"Yes, I am ready to submit"
16/03/2024 11:28:37,Yes,2,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Wind",Somewhat informed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Prices ,No,Never,"Refrigerator, Washing machine, Television",Weekend ,Somewhat poorly,35-44 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
16/03/2024 11:30:45,Yes,2,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Somewhat informed,"Using energy-efficient appliances whenever possible., Unplugging unused electronics.",No information ,No,Monthly,"Refrigerator, Dryer, Dishwasher",Everyday ,Somewhat poorly,45-54 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
16/03/2024 11:32:50,Yes,4,Apartment,No,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Refrigerator, Washing machine, Dryer, Dishwasher, Television, Computer",,Somewhat poorly,35-44 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
16/03/2024 12:00:17,Yes,2,Apartment,No,No,Somewhat dissatisfied,Somewhat disagree,"Temperature, Precipitation",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Washing machine, Dryer",No,Somewhat poorly,35-44 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
16/03/2024 12:02:14,Yes,1,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Somewhat disagree,"Temperature, Humidity",Somewhat uninformed,"Using energy-efficient appliances whenever possible., Washing clothes in cold water during hot weather.",Finance ,No,Never,"Refrigerator, Washing machine, Dishwasher",Weekend ,Somewhat poorly,25-34 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 12:03:41,Yes,4,Semi-detached house,No,No,Somewhat satisfied,Somewhat disagree,Temperature,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",Finance ,No,Never,"Refrigerator, Dryer",Every day ,Somewhat well,25-34 years old,Some college,,,,"Yes, I am ready to submit"
16/03/2024 12:04:35,Yes,1,Detached house,No,No,Neither satisfied nor dissatisfied,Neutral,Temperature,Somewhat informed,Unplugging unused electronics.,,No,Monthly,Refrigerator,,Neutral,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
16/03/2024 12:06:23,Yes,3,Apartment,No,Yes,Somewhat satisfied,Strongly agree,"Precipitation, Wind, Humidity",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Monthly,"Refrigerator, Dryer, Computer",,Very well,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 12:11:40,Yes,4,Semi-detached house,No,No,Somewhat satisfied,Somewhat disagree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Monthly,"Refrigerator, Dryer",,Somewhat well,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
16/03/2024 16:29:25,Yes,2,Semi-detached house,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,"Temperature, Wind",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,No,Yearly,"Washing machine, Television, Lighting",,Somewhat poorly,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",,"Yes, I am ready to submit"
17/03/2024 10:59:54,Yes,3,Semi-detached house,No,No,Somewhat dissatisfied,Strongly disagree,"Temperature, Humidity",Somewhat informed,Washing clothes in cold water during hot weather.,Finance ,No,Never,"Refrigerator, Washing machine",,Somewhat well,35-44 years old,Bachelor's degree,,"€40,000 - €60,000",Weekend ,"Yes, I am ready to submit"
17/03/2024 11:14:50,Yes,2,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Temperature, Wind",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Washing machine, Dryer",Weekend ,Somewhat well,45-54 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
17/03/2024 11:56:07,Yes,3,Semi-detached house,No,No,Somewhat dissatisfied,Somewhat disagree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Refrigerator, Dryer, Dishwasher",Weekend ,Somewhat poorly,45-54 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
17/03/2024 11:58:37,Yes,2,Detached house,No,No,Somewhat satisfied,Somewhat disagree,"Temperature, Wind, Humidity",Somewhat informed,Washing clothes in cold water during hot weather.,Finance ,No,Never,"Refrigerator, Dryer, Dishwasher",Weekend ,Somewhat well,35-44 years old,Bachelor's degree,,"€60,000 - €80,000",,"Yes, I am ready to submit"
17/03/2024 12:00:06,Yes,Other,Detached house,No,Yes,Somewhat dissatisfied,Somewhat disagree,"Temperature, Humidity",Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Never,"Refrigerator, Washing machine, Dryer",Every evening ,Somewhat well,45-54 years old,Bachelor's degree,,"€60,000 - €80,000",,"Yes, I am ready to submit"
17/03/2024 12:01:21,Yes,3,Apartment,No,No,Somewhat satisfied,Neutral,Temperature,Somewhat uninformed,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Refrigerator, Dishwasher",Weekend ,Somewhat well,35-44 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
17/03/2024 12:02:33,Yes,4,Semi-detached house,No,No,Somewhat dissatisfied,Neutral,Temperature,Neutral,Unplugging unused electronics.,,No,Monthly,Refrigerator,,Neutral,35-44 years old,Some college,,,,"Yes, I am ready to submit"
17/03/2024 12:03:21,Yes,1,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Never,Refrigerator,,Somewhat poorly,25-34 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
17/03/2024 18:25:21,Yes,4,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Somewhat disagree,Temperature,Very informed,Using energy-efficient appliances whenever possible.,,No,Never,"Refrigerator, Dryer",,Somewhat well,25-34 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
18/03/2024 11:01:46,Yes,3,Semi-detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,No,Monthly,Washing machine,,Somewhat well,35-44 years old,High school diploma or equivalent,,"€60,000 - €80,000",,"Yes, I am ready to submit"
18/03/2024 12:45:52,Yes,1,Apartment,No,No,Somewhat dissatisfied,Strongly agree,Wind,Somewhat uninformed,Using energy-efficient appliances whenever possible.,Finance ,No,Weekly,"Television, Computer",Monday ,Somewhat poorly,25-34 years old,Bachelor's degree,,,,"Yes, I am ready to submit"
18/03/2024 12:47:00,Yes,Other,Detached house,No,Yes,Somewhat satisfied,Somewhat disagree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.,,No,Never,"Refrigerator, Washing machine",,Somewhat well,35-44 years old,Master's degree or higher,,"More than €80,000",,"Yes, I am ready to submit"
18/03/2024 13:06:41,Yes,2,Semi-detached house,No,No,Neither satisfied nor dissatisfied,Neutral,Precipitation,Neutral,Using energy-efficient appliances whenever possible.,Finance ,No,Never,"Dryer, Dishwasher",,Neutral,35-44 years old,Some college,,,,"Yes, I am ready to submit"
