household_size,type of dwelling,weather-sensitive features,attitude,weather conditions most affecting home's energy use,knowledge_about_weather_energy,adopting the weather-based energy management strategies,challenges in implementing energy-saving practices,appliances using the most electricity,days when household's electricity consumption is significantly higher,energy provider inform  about the electricity consumption and ways to save energy,What is your age range?,education,What is your occupation (optional)? ,income,comments or suggestions 
45387,Semi-detached house,No,Strongly agree,Precipitation,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,,Refrigerator;Washing machine;Dishwasher;Television,,Neutral,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",
45387,Apartment,Yes,Somewhat agree,Wind,Neutral,Unplugging unused electronics.,,Television,,Somewhat well,35-44 years old,Master's degree or higher,,"€20,000 - €40,000",
45325,Apartment,Yes,Neutral,Precipitation;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Dishwasher;Television,,Somewhat well,18-24 years old,Less than high school,,"€20,000 - €40,000",
45387,Semi-detached house,Yes,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Dryer;Television,,Somewhat well,18-24 years old,Less than high school,,"€40,000 - €60,000",
More than 5,Detached house,Yes,Somewhat agree,Temperature;Wind,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Washing machine;Dryer;Dishwasher,,Somewhat poorly,18-24 years old,Less than high school,,"Less than €20,000",
45387,Apartment,No,Neutral,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible.,I'm on rent,Dishwasher,No,Somewhat poorly,35-44 years old,High school diploma or equivalent,,"Less than €20,000",No
45387,Apartment,No,Somewhat agree,Temperature;Precipitation;Wind;Humidity,Neutral,Unplugging unused electronics.,,Refrigerator;Washing machine;Dryer;Lighting,,Very poorly,18-24 years old,Less than high school,,"€60,000 - €80,000",
45325,Apartment,Yes,Somewhat agree,Temperature;Wind;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,,Washing machine;Dryer;Dishwasher,,Somewhat well,45-54 years old,Less than high school,,"More than €80,000",
More than 5,Semi-detached house,Yes,Somewhat agree,Temperature;Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,,Washing machine,No ,Neutral,45-54 years old,Some college,,,
45387,Semi-detached house,No,Somewhat disagree,Doesn't impact ,Very informed,Washing clothes in cold water during hot weather.,"Very energy sufficient already,  do nothing to face",Washing machine;Dryer,Sunday,Very well,25-34 years old,Master's degree or higher,Business analyst ,"More than €80,000",N/A
45387,Apartment,No,Strongly agree,Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Television;Lighting,,Neutral,18-24 years old,Less than high school,,"Less than €20,000",
45387,Apartment,No,Somewhat agree,Temperature,Neutral,Washing clothes in cold water during hot weather.,,Refrigerator,,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",
More than 5,Detached house,No,Somewhat disagree,Temperature;Wind;Humidity,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,The cost,Refrigerator;Dishwasher;Lighting,Yes on weekends because everyone is at home,Very poorly,45-54 years old,Master's degree or higher,Unemployed,"€20,000 - €40,000",No
More than 5,Apartment,No,Strongly agree,Temperature;Wind,Somewhat uninformed,Using energy-efficient appliances whenever possible.,Too expensive ,Refrigerator;Television;Lighting,Weekends,Somewhat poorly,55-64 years old,Some college,,Prefer not to answer,No
45325,Detached house,Yes,Strongly agree,Temperature;Humidity,Very informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Not many challenges - mainly internet cut off to control heating system ,Dryer;Dishwasher;Television,Weekend ,Very well,45-54 years old,Master's degree or higher,Prefer not to say ,Prefer not to answer,More grants for households to upgrade to energy efficiënts equipments 
45325,Detached house,No,Strongly agree,Temperature;Wind,Very uninformed,Using energy-efficient appliances whenever possible.;Taking shorter showers in hot weather.,Too expensive ,Refrigerator;Washing machine;Lighting,Weekends ,Neutral,18-24 years old,Less than high school,,"€40,000 - €60,000",
45325,Apartment,No,Somewhat agree,Precipitation;Humidity;Cloudy ,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,,Washing machine;Computer;Lighting,Weekends ,Very poorly,45-54 years old,Bachelor's degree,Technician,"€20,000 - €40,000","The information to be made public, the government to organise conferences to inform the population "
45325,Apartment,No,Strongly agree,Temperature,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.,Convenience,Refrigerator,Between 5 and 7 when home from work. ,Somewhat poorly,25-34 years old,Master's degree or higher,,"€40,000 - €60,000",No
1,Semi-detached house,No,Neutral,Precipitation;Humidity,Neutral,Unplugging unused electronics.;Washing clothes in cold water during hot weather.,My apartment is poorly isolated. It’s very cold throughout the year,Washing machine;Dryer;Dishwasher,Bank holidays and weekend ,Very poorly,45-54 years old,Bachelor's degree,I’m taxi driver ,"€20,000 - €40,000",Building should be isolated to reduce the heating 
45325,Semi-detached house,Yes,Neutral,Wind;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,Coldest weather ,Refrigerator;Washing machine;Dryer,Weekends ,Somewhat poorly,55-64 years old,Bachelor's degree,Care giver,"€40,000 - €60,000",organising information sessions 
45325,Apartment,No,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,Humidity ,Washing machine;Dryer,Weekend ,Somewhat poorly,25-34 years old,Some college,Bus driver,"€20,000 - €40,000",Reducing the cost of energy 
45387,Terrace ,No,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Dealing with younger ones ,Washing machine;Dryer,No,Somewhat well,45-54 years old,Master's degree or higher,,"€40,000 - €60,000",
45387,Apartment,No,Somewhat agree,Temperature;Wind;Humidity,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,,Refrigerator,,Very poorly,18-24 years old,Master's degree or higher,,"Less than €20,000",
,,,,,,,,,,,,,,,
45325,Semi-detached house,Yes,Strongly agree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.;Washing clothes in cold water during hot weather.,Financial opportunities,Washing machine;Dryer;Dishwasher,Morning ,Somewhat well,25-34 years old,Bachelor's degree,,"€20,000 - €40,000",
More than 5,Detached house,No,Somewhat disagree,Wind,Somewhat uninformed,Washing clothes in cold water during hot weather.,,Dishwasher;Television;Computer,,Neutral,45-54 years old,Bachelor's degree,,"€20,000 - €40,000",No
1,Apartment,Yes,Somewhat agree,Temperature,Neutral,Unplugging unused electronics.,inappropriate housing conditions,Refrigerator;Washing machine;Dryer;Dishwasher,No,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",
45387,Semi-detached house,No,Strongly agree,Temperature,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.,Cost,Refrigerator;Washing machine;Dishwasher,Weekends,Neutral,45-54 years old,Master's degree or higher,Civil servant,"More than €80,000",
45387,Detached house,Yes,Strongly agree,Temperature;Precipitation,Very informed,Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,that all members do it ,Dryer;Dishwasher;Television;kettle,weekend,Somewhat well,45-54 years old,Master's degree or higher,,"€60,000 - €80,000",no
45387,Detached house,Yes,Somewhat agree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,It’s always cold in this country,Washing machine;Dryer;Dishwasher,We try to use all heavy appliances after midnight for night rate (ie dishwasher washing machine),Somewhat well,25-34 years old,Master's degree or higher,,"More than €80,000",
45325,Semi-detached house,Yes,Somewhat agree,Precipitation,Very informed,Unplugging unused electronics.,,Refrigerator;Washing machine;Dryer;Dishwasher;Lighting,,Somewhat well,18-24 years old,High school diploma or equivalent,,"€20,000 - €40,000",
1,Detached house,No,Neutral,Wind,Neutral,Unplugging unused electronics.,I don't know how,Dryer;Computer,No,Neutral,18-24 years old,Bachelor's degree,,"€40,000 - €60,000",
45325,Detached house,Yes,Strongly agree,Temperature,Very informed,Adjusting your thermostat settings based on the weather forecast.,No,Refrigerator;Washing machine;Dryer;Dishwasher,Everyday evening ,Somewhat well,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",
45325,Semi-detached house,No,Somewhat agree,Wind,Neutral,Using energy-efficient appliances whenever possible.,,Dryer,,Somewhat poorly,25-34 years old,Some college,,"€20,000 - €40,000",
,,,,,,,,,,,,,,,
45325,Apartment,No,Neutral,Temperature;Precipitation;Wind;Humidity,Somewhat uninformed,Using energy-efficient appliances whenever possible.,,Refrigerator;Washing machine;Dryer;Lighting,Never checked ,Neutral,35-44 years old,Some college,Healthcare Assistant ,"Less than €20,000",What are the best ways to save electricity 
45325,Apartment,Yes,Somewhat agree,Wind;Humidity,Somewhat informed,Using energy-efficient appliances whenever possible.;Washing clothes in cold water during hot weather.,coldest days,Washing machine;Dryer;Dishwasher,,Somewhat poorly,35-44 years old,Bachelor's degree,,"€20,000 - €40,000",Building homes more energy efficient and sustainable
45325,Semi-detached house,Yes,Strongly agree,Temperature,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,Lack of knowledge and on the appliances,Washing machine;Dryer;Computer,Weekends,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",
45325,Detached house,No,Somewhat agree,Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible.,,Dishwasher,,Neutral,25-34 years old,Some college,,"Less than €20,000",
45325,Apartment,No,Neutral,Wind,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Washing machine;Computer,No,Neutral,25-34 years old,Bachelor's degree,Baker ,"€40,000 - €60,000",No
45387,Semi-detached house,No,Somewhat agree,Temperature;Precipitation;Wind,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.,,Washing machine;Dishwasher;Television;Computer,"Yes, evening ",Somewhat well,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",
More than 5,Semi-detached house,No,Strongly agree,Temperature,Very uninformed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Without information how can we even how how to,Refrigerator;Television;Computer;Lighting,No,Neutral,35-44 years old,High school diploma or equivalent,Entrepreneur ,"Less than €20,000",
1,Apartment,No,Neutral,Temperature;Precipitation;Wind;Humidity;,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,,Refrigerator;Washing machine;Dryer;Dishwasher;Television;Computer;Lighting;,,Neutral,18-24 years old,Master's degree or higher,,"More than €80,000",
1,Apartment,No,Strongly agree,Temperature;Precipitation;Wind;Humidity,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.,lack of knowledge,Refrigerator;Washing machine;heating,Weekends,Neutral,25-34 years old,Master's degree or higher,IT,"€40,000 - €60,000",
45325,Semi-detached house,Yes,Strongly agree,Precipitation;Humidity,Somewhat informed,Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,,Washing machine;Dryer,,Somewhat well,45-54 years old,Bachelor's degree,,"€20,000 - €40,000",
More than 5,Semi-detached house,Yes,Strongly agree,Temperature,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.,Making sure appliances that are not needed or being used are plugged out and switched off,Refrigerator;Television;Lighting,Winter time in the evenings,Somewhat well,35-44 years old,Master's degree or higher,Support Engineer,Prefer not to answer,
1,Detached house,Yes,Somewhat agree,Temperature,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Dryer,,Somewhat well,18-24 years old,High school diploma or equivalent,,"Less than €20,000",
45387,Apartment,No,Somewhat disagree,Temperature;Precipitation,Somewhat informed,Using energy-efficient appliances whenever possible.,,Washing machine;Dishwasher;Television;Computer,,Somewhat well,25-34 years old,Bachelor's degree,,"€20,000 - €40,000",
45387,Semi-detached house,No,Somewhat disagree,Temperature;Precipitation;Wind,Somewhat informed,Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,,Refrigerator;Dryer;Dishwasher;Television,17 am,Somewhat well,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",
45387,Apartment,No,Neutral,Temperature;Wind,Neutral,Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Taking shorter showers in hot weather.,,Washing machine;Dryer;Dishwasher,no,Neutral,18-24 years old,Less than high school,,,
45387,Detached house,No,Strongly disagree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,,Washing machine;Dryer;Dishwasher,,Somewhat poorly,45-54 years old,Bachelor's degree,,"€40,000 - €60,000",
45325,Semi-detached house,No,Somewhat agree,Wind,Neutral,Using energy-efficient appliances whenever possible.,,Refrigerator;Dryer;Dishwasher,,Somewhat poorly,35-44 years old,Some college,,"€20,000 - €40,000",
45387,Detached house,No,Somewhat agree,Precipitation;Humidity,Somewhat informed,Taking shorter showers in hot weather.,,Dryer;Dishwasher;Lighting,Friday ,Somewhat poorly,25-34 years old,Bachelor's degree,,"€40,000 - €60,000",
More than 5,Detached house,Yes,Strongly agree,Temperature;Precipitation;Wind,Somewhat informed,Washing clothes in cold water during hot weather.,,Refrigerator;Washing machine;Dryer;Dishwasher;Television;Lighting,Not ,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",
45325,Apartment,No,Somewhat agree,Wind;Humidity,Somewhat informed,Unplugging unused electronics.,,Refrigerator;Washing machine;Dishwasher;Television,,Somewhat well,35-44 years old,Master's degree or higher,,"€40,000 - €60,000",
More than 5,Apartment,Yes,Strongly disagree,Temperature,Somewhat informed,Taking shorter showers in hot weather.,,Washing machine;Dryer;Dishwasher,,Somewhat well,35-44 years old,Some college,,"€20,000 - €40,000",
45325,Semi-detached house,Yes,Somewhat agree,Temperature;Precipitation,Somewhat uninformed,Using energy-efficient appliances whenever possible.,,Dishwasher;Computer;Lighting,Negative ,Somewhat well,25-34 years old,Some college,,"€20,000 - €40,000",
1,Apartment,No,Strongly agree,Temperature,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,Negative ,Refrigerator;Washing machine;Dryer;Dishwasher;Television;Computer;Lighting,Between 18am and 21am,Very poorly,18-24 years old,Some college,,"€20,000 - €40,000",
45325,Apartment,Yes,Somewhat agree,Wind,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Dryer,in the evening when we are at home,Somewhat poorly,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",
More than 5,Detached house,No,Strongly agree,Precipitation,Somewhat informed,Unplugging unused electronics.,,Refrigerator;Washing machine;Dryer,Yes,Neutral,35-44 years old,Some college,,"€40,000 - €60,000",
45387,Semi-detached house,Yes,Somewhat agree,Temperature;Humidity,Somewhat informed,Washing clothes in cold water during hot weather.,,Refrigerator;Washing machine;Dryer,No,Somewhat well,25-34 years old,High school diploma or equivalent,,"€20,000 - €40,000",
45387,Semi-detached house,Yes,Somewhat agree,Precipitation,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Washing machine;Dryer;Dishwasher,,Somewhat well,35-44 years old,Master's degree or higher,,"€60,000 - €80,000",
45387,Detached house,Yes,Strongly agree,Temperature;Wind,Very informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,,Refrigerator;Washing machine;Dryer,Saturday and sundays,Somewhat well,18-24 years old,Less than high school,,"Less than €20,000",
45325,Apartment,No,Strongly agree,Temperature;Precipitation,Somewhat uninformed,Using energy-efficient appliances whenever possible.,Switching off lights ;washing less clothes,Washing machine;Dryer;Lighting,Weekends,Somewhat poorly,18-24 years old,Some college,,"Less than €20,000",Use the wind more efficiently since there’s a lot especially in storms 
1,Detached house,Yes,Somewhat agree,Temperature;Precipitation;Wind;Humidity,Very uninformed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,Using the heater less,Refrigerator;Washing machine;Dryer,Days of off work and weekedns,Neutral,18-24 years old,Some college,McDonald’s ,"Less than €20,000",No
More than 5,Semi-detached house,Yes,Strongly agree,Temperature;Wind;Humidity;Storms ,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.,Having all the kids listen when I tell them to take shorter showers and switch off lights,Washing machine;Lighting;Shower,Weekends and after school when everyone is home,Somewhat poorly,35-44 years old,Master's degree or higher,,"€40,000 - €60,000",
,,,,,,,,,,,,,,,
45387,Apartment,No,Strongly agree,Temperature;Precipitation;Humidity,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Not everyone following the same rules ,Washing machine;Lighting;Shower ,"Weekends, after school and work",Very poorly,25-34 years old,Bachelor's degree,,"€60,000 - €80,000",It should use the weather conditions mor efficiently for example the sting wind 
45325,Apartment,No,Somewhat agree,Temperature;Precipitation;Wind,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.;Taking shorter showers in hot weather.,Remembering to do it,Washing machine;Dishwasher;Lighting,"When at home for longest periods -weekends, at night ",Somewhat poorly,25-34 years old,Bachelor's degree,Undergraduate ,"€20,000 - €40,000",
45325,Semi-detached house,No,Strongly agree,Temperature,Very uninformed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.,Not taking it seriously enough and making an effort ,Washing machine;Dryer;Kettle ,Evening ,Somewhat well,55-64 years old,Some college,School Secretary ,"€40,000 - €60,000",
45325,Detached house,Yes,Strongly disagree,Humidity,Neutral,Unplugging unused electronics.;Washing clothes in cold water during hot weather.,Humidity ,Washing machine;Dryer;Dishwasher,No at all,Neutral,35-44 years old,Some college,,"€20,000 - €40,000",Build sustainable houses
45387,Semi-detached house,Yes,Strongly agree,Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,Weather,Dryer;Dishwasher,Weekend,Somewhat well,45-54 years old,Master's degree or higher,Nurse,"More than €80,000",Government policies 
45387,Semi-detached house,No,Neutral,Precipitation;Humidity,Neutral,Unplugging unused electronics.,Politics,Dryer;Dishwasher,Never,Very poorly,55-64 years old,Master's degree or higher,Engineer ,"More than €80,000",Politics 
45325,Detached house,Yes,Strongly agree,Temperature;Humidity,Very informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,None at all,Washing machine;Dryer,Sundays ,Very well,35-44 years old,Bachelor's degree,Director Human Resources ,"More than €80,000",More energy efficient to be proposed by the government 
45325,Apartment,Yes,Strongly agree,Temperature;Precipitation;Wind;Humidity,Very informed,Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,I leave in an old building ,Refrigerator;Dryer,Weekend ,Very well,55-64 years old,Some college,,"€60,000 - €80,000",Government to provide refurbishment grant to all and not only vacant properties 
45325,Semi-detached house,Yes,Somewhat disagree,Temperature;Precipitation;Wind;Humidity,Somewhat informed,Unplugging unused electronics.;Taking shorter showers in hot weather.,Financial barriers ,Refrigerator;Washing machine;Dryer;Dishwasher;Television;Computer;Lighting,Weekend and holidays ,Somewhat well,45-54 years old,Master's degree or higher,Entrepreneur ,"More than €80,000",Use the data gathered to develop a strategy for managing cost and energy consumption regularly.
1,Detached house,No,Strongly agree,Precipitation;Wind;Humidity,Very informed,Adjusting your thermostat settings based on the weather forecast.,I leave in a house that was built by my parents and need to be renovated to the highest standards to reduce the cost of my energy used ,Washing machine;Dryer,No,Very poorly,18-24 years old,Bachelor's degree,Student ,"€20,000 - €40,000",I need to be informed on what’s going on regularly and why the energy prices are going upwards 
