Date,Month,Max_Temperature_(°F),Avg_Temperature_(°F),Low_Temperature_(°F),Max_Dew Point_(°F),Avg_Dew Point_(°F),Low_Dew Point_(°F),Max_Humidity_(%),Avg_Humidity_(%),Low_Humidity_(%),Max_WindSpeed_(mph),Avg_WindSpeed_(mph),Low_WindSpeed_(mph),Max_Pressure_(in),Avg_Pressure_(in),Low_Pressure_(in),Precipitation_(in)
1/1/2024,1,52,47.3,43,49,41.8,34,98,81.9,62,31,22.3,7,29.4,29.1,28.8,0
1/2/2024,1,51,49.6,47,49,47,45,95,90.7,86,27,19.4,13,28.9,28.9,28.8,0
1/3/2024,1,50,48.2,46,47,45.2,42,93,89.1,78,31,20.1,11,29.3,29.1,28.9,0
1/4/2024,1,48,46.7,45,44,41,37,91,81,70,29,19,9,29.5,29.4,29.3,0
1/5/2024,1,46,45.1,43,41,39.3,38,85,80.4,76,22,14,9,29.9,29.7,29.5,0
1/6/2024,1,48,43.6,40,41,38.7,36,91,82.7,74,16,5.5,2,30.3,30.1,29.9,0
1/7/2024,1,44,39.4,36,39,35.2,31,93,85,74,11,7.6,2,30.4,30.3,30.3,0
1/8/2024,1,39,34.3,0,35,30.4,0,95,82.2,0,22,14.2,7,30.4,30.4,30.4,0
1/9/2024,1,40,35.2,32,32,29.6,28,87,80.4,67,20,14.4,9,30.5,30.4,30.4,0
1/10/2024,1,41,36.4,33,34,31.6,29,89,82.5,74,22,15.1,9,30.6,30.5,30.4,0
1/11/2024,1,45,41.8,39,37,35.9,34,84,78.7,70,18,10,7,30.7,30.7,30.6,0
1/12/2024,1,41,38.3,36,36,34.1,33,94,84.8,81,9,5.9,2,30.7,30.6,30.5,0
1/13/2024,1,46,40.9,36,44,38.5,34,95,91,82,9,3.8,0,30.5,30.3,30.1,0
1/14/2024,1,44,40.1,37,41,37.2,33,96,89.5,81,11,5.7,2,30.1,30,30,0
1/15/2024,1,42,38.3,33,34,31.5,29,89,76.5,65,9,4.5,2,30,30,29.9,0
1/16/2024,1,45,42.1,36,40,35.6,31,95,78.2,67,22,14.9,0,29.9,29.6,29.4,0
1/17/2024,1,39,33.4,30,32,30.3,28,95,88.8,68,11,7.6,2,29.5,29.4,29.3,0
1/18/2024,1,42,36.4,29,33,30.2,26,88,78,66,9,5.7,2,30,29.8,29.6,0
1/19/2024,1,48,45,41,43,36.5,30,86,72.5,62,36,27.5,16,30,29.9,29.7,0
1/20/2024,1,51,49.3,47,49,46.5,42,96,90.8,79,40,27.7,18,29.7,29.5,29.4,0
1/21/2024,1,53,50,47,53,46.6,40,100,87.7,73,60,40.7,20,29.4,29.1,28.6,0
1/22/2024,1,49,47.2,45,41,39,37,87,73.6,66,47,35.4,20,29.9,29.6,29.1,0
1/23/2024,1,53,51.1,47,53,47.1,41,97,86.6,72,49,35.8,16,29.9,29.5,29.4,0
1/24/2024,1,50,48.8,48,47,43.8,41,95,83.4,74,45,20,9,30.1,30,29.7,0
1/25/2024,1,52,50,45,51,48.7,41,98,94.9,86,40,24.6,18,30,29.8,29.6,0
1/26/2024,1,49,47,44,45,39.7,33,90,75.7,62,40,29,22,30.2,30.1,29.8,0
1/27/2024,1,51,47.3,0,49,43.8,0,97,83.2,0,27,22.8,16,30.2,30,29.8,0
1/28/2024,1,54,49.4,44,50,43.9,35,96,81.8,65,36,23.5,11,30,29.7,29.5,0
1/29/2024,1,47,41.6,38,36,33.6,29,87,74.4,50,11,5.4,2,30.2,30.1,30,0
1/30/2024,1,49,45.6,39,43,37.8,33,87,74.3,59,29,16.4,0,30.3,30.3,30.2,0
1/31/2024,1,51,48.3,45,50,43.2,35,97,82.9,66,40,27.3,11,30.3,30.1,29.9,0
2/1/2024,2,50,47.8,46,50,43.2,36,99,84.3,67,22,16.6,9,30.4,30.4,30.3,0
2/2/2024,2,52,50.7,50,51,50.3,49,99,98,95,25,22.4,20,30.3,30.2,30.2,0
2/3/2024,2,51,48.8,48,50,45.8,42,99,89.5,77,22,15.9,11,30.3,30.2,30.2,0
2/4/2024,2,52,50.8,49,50,48.2,46,98,91.4,85,31,25.1,16,30.2,30.1,30.1,0
2/5/2024,2,51,50.1,49,49,48,46,97,91.8,83,27,22.8,18,30,29.8,29.7,0
2/6/2024,2,51,45.8,40,50,41.5,34,97,85.5,67,31,13.4,2,29.7,29.6,29.5,0
2/7/2024,2,44,40.6,36,37,34.6,33,90,79.1,67,22,10,4,29.7,29.6,29.4,0
2/8/2024,2,42,38.9,36,41,36,0,97,90.2,0,34,25.5,20,29.4,28.9,28.6,0
2/9/2024,2,48,43.5,42,46,42.8,41,99,96.5,93,22,16.3,11,28.6,28.6,28.6,0
2/10/2024,2,49,43.7,40,44,41.6,39,97,92.4,80,16,12.2,2,29.1,28.9,28.7,0
2/11/2024,2,47,45.3,42,42,38,34,87,76.2,65,34,22,13,29.3,29.2,29.1,0
2/12/2024,2,47,45.5,43,41,37,31,81,72.4,64,29,23.8,18,29.6,29.5,29.4,0
2/13/2024,2,48,43.6,0,48,40.5,0,98,84.7,0,16,10.8,7,29.6,29.6,29.5,0
2/14/2024,2,51,50.3,49,51,49.8,48,100,99,98,20,13.3,7,29.5,29.5,29.4,0
2/15/2024,2,52,49.8,49,51,49.3,48,100,97.6,94,20,12.2,7,29.6,29.5,29.4,0
2/16/2024,2,51,49.9,49,51,49.2,47,99,96.8,92,25,15.1,9,30,29.8,29.6,0
2/17/2024,2,52,50.1,49,52,49.5,47,99,97.8,93,20,13.6,9,30.1,30,29.9,0
2/18/2024,2,52,50.4,49,51,49.4,48,99,96.6,93,25,13.8,9,30.3,30.2,30.1,0
2/19/2024,2,52,50.2,49,50,48.3,47,98,93,90,27,17.9,13,30.4,30.3,30.2,0
2/20/2024,2,51,50,48,50,48.2,46,98,92.9,85,29,18.6,11,30.1,30,29.7,0
2/21/2024,2,52,48.6,44,51,45.6,41,99,89.3,81,31,23,16,29.7,29.3,29,0
2/22/2024,2,46,44,42,40,37,34,84,76.5,66,36,25.5,18,29,28.9,28.8,0
2/23/2024,2,46,43.3,40,39,37,34,88,78.6,69,34,24.5,9,29,29,28.9,0
2/24/2024,2,50,46.1,43,42,40.4,39,88,80.9,72,25,13.9,4,29.4,29.3,29.1,0
2/25/2024,2,49,44.5,41,41,38.4,35,93,79.9,62,22,16.4,11,29.8,29.4,29.1,0
2/26/2024,2,49,45.9,42,42,36.9,33,80,71.4,55,25,13.9,7,30.2,30.1,29.8,0
2/27/2024,2,50,48.5,47,49,42.4,38,98,79.8,64,27,20.1,11,30.1,30,29.9,0
2/28/2024,2,51,49.1,45,51,46.8,37,99,91.8,69,36,23,18,29.9,29.7,29.5,0
2/29/2024,2,47,43.5,38,39,36.1,34,91,76.1,67,31,25.1,9,29.5,29.4,29.1,0
3/1/2024,3,44,41.4,39,36,33.5,31,88,73.9,63,27,18.9,9,29.4,29.2,29.1,0
3/2/2024,3,46,42.4,39,38,35,30,88,76.1,54,29,21.5,11,29.4,29.4,29.4,0
3/3/2024,3,49,45,41,41,38.8,35,91,79.5,68,25,14.5,9,29.5,29.5,29.4,0
3/4/2024,3,47,44.3,42,44,40,38,96,85,75,34,24.4,13,29.5,29.2,29,0
3/5/2024,3,52,48.4,45,45,43.2,38,98,83,70,47,23.8,13,29.8,29.5,29,0
3/6/2024,3,54,50.1,47,48,46.5,44,91,87,79,25,22.8,20,29.8,29.7,29.7,0
3/7/2024,3,52,48.8,42,48,42.3,37,90,79,60,25,21.1,18,29.9,29.8,29.8,0
3/8/2024,3,49,43.9,41,39,37.3,35,86,77.8,65,31,23.7,20,29.8,29.5,29.4,0
3/9/2024,3,46,43,39,39,36.3,33,84,77.4,68,31,20.9,13,29.4,29.4,29.3,0
3/10/2024,3,49,45.8,44,42,39.8,38,87,79.8,69,13,7.7,4,29.6,29.5,29.4,0
3/11/2024,3,49,46.2,44,48,43.3,41,98,90.4,84,25,8.6,2,29.7,29.6,29.4,0
3/12/2024,3,52,49.3,46,51,48.7,46,99,97.4,92,34,17.7,4,29.5,29.4,29.4,0
3/13/2024,3,51,45.1,0,51,39.3,0,99,76.9,0,34,12.9,0,29.6,29.5,29.3,0
3/14/2024,3,52,47.4,42,51,46.4,40,99,96.1,90,20,14.5,9,29.5,29.3,29.1,0
3/15/2024,3,53,48,42,47,42.3,38,97,81.4,64,20,12.2,4,29.8,29.6,29.3,0
3/16/2024,3,53,48.5,43,52,46.7,39,98,93.5,84,22,17.8,13,29.8,29.7,29.6,0
3/17/2024,3,53,50.3,49,49,48.3,47,97,92.8,86,22,14,9,29.7,29.6,29.6,0
3/18/2024,3,52,50,49,50,47.8,46,97,92.6,89,36,24.5,16,29.6,29.5,29.3,0
3/19/2024,3,52,49.6,47,49,46.1,43,95,88,79,25,9.3,2,29.9,29.7,29.5,0
3/20/2024,3,52,47.5,44,42,39,36,85,72.8,54,18,11.8,4,30.1,30.1,29.9,0
3/21/2024,3,52,50.1,48,51,47.4,41,98,90.7,78,34,25.5,16,30.1,30,30,0
3/22/2024,3,49,46.6,43,42,38.3,35,85,73.3,62,36,28,22,30.1,30.1,30,0
3/23/2024,3,48,45.8,43,42,38,35,88,74.5,59,40,29.1,20,30,29.9,29.9,0
3/24/2024,3,49,46.2,44,49,42.8,37,99,87.9,69,20,13.7,4,30,29.7,29.3,0
3/25/2024,3,49,46,42,48,43.7,40,99,92.1,87,25,15.8,4,29.3,29.2,29.1,0
3/26/2024,3,47,42.3,0,44,39.2,0,95,85.1,0,20,11.8,4,29.2,29,28.7,0
3/27/2024,3,45,42.6,41,41,39,36,95,87.3,78,22,16.9,11,28.6,28.5,28.4,0
3/28/2024,3,49,42.2,34,37,34.8,32,92,76.3,52,16,10.4,4,28.7,28.6,28.5,0
3/29/2024,3,52,46.8,42,45,41.6,38,92,82.3,69,18,12.5,9,28.9,28.8,28.7,0
3/30/2024,3,54,47.8,44,42,40.6,39,85,76.3,63,25,18,11,29.1,29,28.9,0
3/31/2024,3,46,46,46,42,42,42,88,88,88,13,13,13,29.1,29.1,29.1,0
